"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","13","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testHomePageContainsDepartureAndDestination","Verify Departure and Destination fields exist on Home Page",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:24 IST 2025","2901","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testDeletePost","Delete a post",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3634","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testCreateComment","Create a comment",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","14","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testNavigateToHomePage","Navigate to Home Page",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3635","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testGetCommentsForPost","Get comments for a post",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3635","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testGetSingleUser","Get single user by ID",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3635","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testPatchPost","Patch an existing post",""
"skipped","Sun Oct 05 17:54:41 IST 2025","Sun Oct 05 17:54:41 IST 2025","8","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testFillPurchaseForm","Fill Purchase Form",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","18","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testConfirmationPage","Verify Confirmation Page",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","11","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testHomePageTitle","Verify Home Page Title",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","18","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testPurchaseFlight","Purchase Flight",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3634","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testUpdatePost","Update an existing post",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3635","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testCreatePost","Create a new post",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3634","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testGetSinglePost","Get single post by ID",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","20","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testSelectFirstFlight","Select First Flight from Flights Page",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","14","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testPurchasePageContainsForm","Verify Purchase Page Contains Form",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","15","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testFlightSearchNavigation","Verify Flight Search Navigation from Home Page",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3634","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testGetAllUsers","Get all users",""
"skipped","Sun Oct 05 17:54:40 IST 2025","Sun Oct 05 17:54:40 IST 2025","12","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","testFlightSelectionPage","Verify Flight Selection Page UI Elements",""
"broken","Sun Oct 05 17:54:41 IST 2025","Sun Oct 05 17:54:41 IST 2025","1","UI Test Suite","Additional UI Tests","org.automation.ui.BlazeDemoTests","org.automation.ui.BlazeDemoTests","setUp","setUp",""
"passed","Sun Oct 05 19:11:21 IST 2025","Sun Oct 05 19:11:25 IST 2025","3635","Surefire suite","Surefire test","org.automation.api.JsonPlaceholderTests","org.automation.api.JsonPlaceholderTests","testGetAllPosts","Get all posts",""
